#,Id,TelegramUserId,Name,CaloriesPer100Grams,AddedOn,CaloriesPerPortion
1,2,79307128,Молоко Parmalat Comfort 1.8%,47.00,2022-05-28 12:28:12.3716040,
2,9,79307128,Молоко Parmalat Comfort 3.5%,62.00,2022-05-28 13:06:10.4651060,
3,11,79307128,Пельмени Домашние Сибирская Коллекция,280.00,2022-05-28 14:19:20.5673600,
4,12,79307128,Соус Olive Barilla,73.00,2022-05-28 14:20:30.4188570,
5,13,79307128,Торт Маракуйа Вкусвилл,218.00,2022-05-28 14:25:06.8910880,
6,14,79307128,Суп Харчо Говядина Вкусвилл,84.40,2022-05-28 17:10:26.5898670,
7,18,79307128,Блин Фермерский Теремок,,2022-05-28 11:12:40.9244160,800.00
8,19,79307128,Кальмар копченый,99.00,2022-05-28 21:10:26.5898670,
9,21,79307128,Салат овощной с кальмарами,51.10,2022-05-28 21:46:12.0817620,
10,22,79307128,Пиво светлое Schlitz Premium Helles,41.00,2022-05-28 21:48:03.8463530,
11,23,79307128,Чипсы Bruto Лучок и Сметана,550.00,2022-05-28 22:02:14.9855040,
12,24,417498336,Салат,230.00,2022-05-28 23:14:07.7025010,
13,25,79307128,Большой английский завтрак Ketch Up,,2022-05-29 17:07:36.6599590,682.03
14,26,79307128,Капучино средний Ketch Up,,2022-05-29 17:08:02.9134410,218.20
15,27,79307128,Бифштекс с томатами и гречкой Вкусвилл,191.60,2022-05-29 17:28:47.3657120,
16,28,79307128,Вино Тёрле Рислинг,76.00,2022-05-29 22:36:55.3060800,
17,29,79307128,Салат овощной обычный,43.50,2022-05-29 22:44:43.7797100,
18,30,79307128,Сыр Brie President,360.00,2022-05-29 22:50:16.4895670,
19,1020,79307128,Блин с грибами в сливках и сыром Теремок,,2022-05-30 10:14:36.7575080,596.60
20,1021,79307128,Котлета куриная с картофельным пюре Вкусвилл,172.00,2022-05-30 19:21:24.3729240,
21,1022,79307128,Суп с фрикадельками из индейки Вкусвилл,28.00,2022-05-30 19:21:54.4821060,
22,1023,79307128,Сухарики ржаные Finn Crisp,350.00,2022-05-30 19:23:36.1496960,
23,1024,79307128,Вино Каролин Бэй Совиньон Блан Франция,71.20,2022-05-30 21:00:56.2510980,
24,1025,79307128,Икра горбуши,263.00,2022-05-30 21:14:47.5303040,
25,1026,79307128,Вино Руэда Совиньон Блан,73.30,2022-05-30 22:18:30.9072980,
26,1027,79307128,Яичница с беконом и грибами,220.00,2022-05-31 09:53:47.0216600,
27,1028,79307128,Куриный кармашек со шпинатом и рикоттой с пастой ризо Вкусвилл,153.10,2022-06-02 15:16:08.1365740,
28,1029,79307128,Соус Basilico Barilla,64.00,2022-06-02 15:17:14.1205850,
29,1030,79307128,Вино Грюнер Вельтлинер,71.00,2022-06-02 21:09:12.7396180,
30,1031,79307128,Клубника,35.00,2022-06-02 22:28:12.7491920,
31,1032,79307128,Бифштекс из баранины с картофелем Yami Yami,158.75,2022-06-03 00:43:56.2762610,
32,1033,79307128,Финская уха Yami Yami,63.75,2022-06-03 00:44:28.8660820,
33,1034,79307128,Вино Santorsola Pinot Grigio Delle Venezia,65.00,2022-06-03 00:47:41.2402430,
34,1035,79307128,Гороховый суп с копчёностями Coffee Room,120.00,2022-06-03 00:59:49.2589120,
35,1036,79307128,Кусочек хлеба Coffee Room,,2022-06-03 01:00:45.1334410,50.00
36,1037,79307128,Картофельный салат с цыплёнком и маринованными опятами Coffee Room,100.00,2022-06-03 01:02:14.8643910,
37,1038,79307128,Грудка куриная с картофелем по-деревенски,142.80,2022-06-03 16:14:57.4867310,
38,1039,79307128,Суп-пюре с грибами Вкусвилл,75.30,2022-06-03 18:52:39.8310180,
39,1040,79307128,Коктейль Дюарс Хайбол Mama Roma,83.00,2022-06-03 23:37:03.0991470,
40,1041,79307128,Салат с креветками и авокадо Mama Roma,,2022-06-03 23:37:49.0345030,390.62
41,1042,79307128,Стейк Денвер глазированный соусом BBQ с деревенским картофелем Mama Roma,,2022-06-03 23:38:36.2687220,1028.94
42,1044,79307128,Каша овсяная на молоке 1.8%,99.60,2022-06-04 11:17:00.3885170,
43,1045,79307128,Шоколадка Kit Kat,527.70,2022-06-04 11:18:02.0885450,
44,1046,79307128,Бекон сырокопченый Велком,420.00,2022-06-04 14:51:13.6062810,
45,1047,79307128,Mushroom бургер Ketch Up,,2022-06-04 17:40:31.6035930,828.97
46,1048,79307128,Чай Клубника-Имбирь Ketch Up,43.80,2022-06-04 17:47:23.7985570,
47,1049,79307128,Вино Von Der Walter Grauburgunder Baden Germany,76.00,2022-06-04 22:00:47.2459020,
48,1050,79307128,Паста Делла Мамма Mama Roma,,2022-06-05 17:44:13.6833290,851.12
49,1051,79307128,Капучино Mama Roma,50.00,2022-06-05 18:08:18.3803420,
50,1052,79307128,Вино Мастри Вернаколи Совиньон Блан,71.20,2022-06-05 22:40:29.3786250,
51,1053,79307128,Шоколад молочный,535.00,2022-06-06 10:40:54.6905040,
52,1054,79307128,Ёжики мясные с отварной гречкой,178.40,2022-06-07 14:51:44.8357480,
53,1055,79307128,Колбаса Fuet extra,388.00,2022-06-07 21:54:25.9380830,
54,1056,79307128,Грибы шампиньоны с горчицей и паприкой Вкусвилл,32.50,2022-06-07 22:02:33.3300190,
55,1059,79307128,Макароны вареные с маслом,150.00,2022-06-08 22:05:02.0900520,
56,1060,79307128,Индейка,190.00,2022-06-08 22:06:37.1344150,
57,1061,79307128,Буррата Вкусвилл,255.00,2022-06-08 22:36:08.4273760,
58,1062,79307128,Вок с цыпленком в устричном соусе YamiYami,,2022-06-09 22:38:17.3433800,552.00
59,1063,79307128,Сливочный суп с атлантическим лососем YamiYami,,2022-06-09 22:39:08.7870410,307.00
60,1064,79307128,Салат овощной с морской капустой,60.00,2022-06-09 23:03:47.6290520,
61,1065,79307128,Томаты сушёные консервированные,157.00,2022-06-09 23:10:03.6238340,
62,1066,79307128,Кальмар сушеный,190.00,2022-06-09 23:15:18.9373190,
63,1068,79307128,Паста Болоньезе Вкусвилл,172.00,2022-06-10 15:40:22.0022610,
64,1069,79307128,Абрикос,45.00,2022-06-10 22:46:14.5822150,
65,1070,79307128,Голубика,37.00,2022-06-10 22:48:43.5950110,
66,1071,79307128,Салат Витаминчик Теремок,,2022-06-11 15:36:22.1483950,173.50
67,1072,79307128,Макароны Карбонара,,2022-06-11 15:37:30.1429730,869.60
68,1073,79307128,Кофе Капучино стандарт Теремок,,2022-06-11 15:38:17.4659210,83.70
69,1086,79307128,Блин Карбонара Теремок,,2022-06-12 15:01:03.8498740,951.40
70,1093,79307128,Original бургер Ketch Up,,2022-06-12 17:00:53.5965600,594.74
71,1095,79307128,Сухарики ржаные Fazer Crisp Rye,332.00,2022-06-12 22:57:42.5947970,
72,1096,79307128,Сыр Камамбер President,244.00,2022-06-12 23:06:25.2682660,
73,1097,79307128,Чай марокканский Ketch Up,40.70,2022-06-13 12:14:40.2468630,
74,1098,79307128,Грейпфрут,35.00,2022-06-13 22:45:43.6821880,
75,2055,79307128,Тефтели куриные с картофельным пюре Вкусвилл,190.90,2022-06-15 13:53:10.5461700,
76,2056,79307128,Капуста квашеная деревенская Окей,30.00,2022-06-15 15:53:54.6780590,
77,2057,79307128,Форель радужная горячего копчения,170.00,2022-06-15 21:52:19.5073650,
78,2058,79307128,Блин Жюльен Теремок,,2022-06-16 11:12:44.5499990,775.00
79,2059,79307128,Сливочный суп с морепродуктами YamiYami,,2022-06-16 22:40:56.3791790,305.00
